mcg,gvh,alm,mit,erl,pox,vac,nuc
0.48534571671163607,0.4876735872754864,0.465115582276592,0.25717110830187967,1.0,9.934749920065526e-249,0.49239963171453793,0.22746401757068885
0.499331955922865,0.4992079889807163,0.49994490358126725,0.2611501377410469,0.5,0.0,0.4995385674931129,0.27644628099173557
0.5114285714285715,0.4942857142857143,0.505,0.25785714285714284,0.5,0.7592857142857143,0.515,0.23857142857142857
0.39,0.44,0.54,0.24,0.5,2.062709797777812e-266,0.51,0.49
0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22
0.7443054681923004,0.7215532295736103,0.5042773004792371,0.29618976058891144,1.0,1.18529069559941e-236,0.5415581618858191,0.26435955346415957
0.3300000000034468,0.21000000000539507,0.5300000000014984,0.15000000000359653,1.0,7.910516570187821e-258,0.520000000001049,0.4999999999985012
0.5,0.54,0.53,0.54,0.5,2.576371484445058e-253,0.51,0.27
0.45,0.54,0.49,0.29,0.5,1.5542928363480407e-197,0.49,0.25
0.40000061808310144,0.4350005981106565,0.4899994862857149,0.14499972030226052,1.0,4.302490164631907e-269,0.5400000530928976,0.3249996161298423
