mcg,gvh,alm,mit,erl,pox,vac,nuc
0.5153160683882423,0.4964726809927458,0.5070120217612389,0.32034790318821255,0.5,0.7078455491578198,0.5042401089065272,0.22352649169209832
0.6799999942742908,0.5799999978281222,0.510000002122893,0.19000000803268102,0.5,0.8299999999633285,0.5399999990511243,0.22000000065255956
0.4595174684437884,0.49785749570262744,0.48773872457058925,0.1851944095817149,0.5,2.917519041466899e-48,0.522828743301775,0.8877345180388676
0.4500000003272025,0.4100000002627636,0.5000000001763162,0.45999999964067184,0.5,0.5000000006877664,0.5000000000213969,0.26999999989200274
0.41000000010111753,0.4500000000105942,0.4600000000734251,0.22999999990853026,0.5,9.803098230523775e-155,0.5000000000668159,0.7000000002170511
0.5914285714285715,0.5771428571428572,0.4928571428571429,0.25285714285714284,1.0,1.940218037353325e-131,0.5257142857142857,0.2792857142857143
0.689999813845544,0.5999999801457384,0.5099998600685816,0.13000063062428963,0.5,0.8299999998872982,0.5199999733790629,0.22000000942771772
0.5700000421275486,0.5200000057381654,0.4600002501708959,0.20000042961280287,0.5,0.8299999560380937,0.519999985858102,0.4099995279492555
0.42110911202041357,0.4814101136562647,0.5240220224307945,0.19981176331341546,0.5,0.7901885581530247,0.5082371947214188,0.2200908867440199
0.4992984559402458,0.4992618097434155,0.5000178827042097,0.2613883648933126,0.5,4.550899709107182e-121,0.4995392432097303,0.27611397480344607
