mcg,gvh,alm,mit,erl,pox,vac,nuc
0.58,0.53,0.33,0.26,0.5,0.0,0.51,0.22
0.49,0.45,0.57,0.24,0.5,5.5501409872228606e-86,0.47,0.38
0.5002393980848153,0.5002462380300957,0.49990424076607387,0.2612722298221614,0.5044459644322845,0.0,0.49987688098495214,0.2759917920656635
0.45,0.38,0.59,0.18,0.5,1.4973082469625232e-111,0.44,0.45
0.41,0.45,0.46,0.23,0.5,1.5365338121954917e-131,0.5,0.7
0.45,0.41,0.49,0.14,1.0,1.4182285064317922e-106,0.53,0.3
0.47,0.46,0.55,0.28,0.5,7.04788485027824e-181,0.44,0.46
0.45,0.41,0.53,0.49,0.5,5.565753603312121e-103,0.49,0.31
0.49947828238828634,0.4776299723112056,0.5025168385420836,0.2986074908458542,0.5,0.6817172323498342,0.4963168178143702,0.24920721181748762
0.5059520175292761,0.5251664155058349,0.5244273182182209,0.1865904288570282,0.5,0.8299999999935505,0.5266868701833534,0.22000000000000003
