mcg,gvh,alm,mit,erl,pox,vac,nuc
0.0007996543839121036,0.0010294821331143038,0.0016665795438377316,0.0005270545495917355,9.593107318760748e+20,0.00020576056736885254,0.00236058333736164,0.002967949187296713
8.036271613922999e-11,6.816647095201915e-11,4.2130089972445927e-10,1.5524301021530068e-10,2.1388944442575644e-07,2.5685710410077083e+64,2.1826083002449754e-09,2.3276270943737404e-10
2.4693484802714796e-12,2.8138287796631863e-12,1.0639927291492011e-11,2.92488028475059e-12,5.644960260235574e+78,1.5296077642989945e-12,4.0643787913668734e-11,1.3177652465776076e-11
2.5609479648038563e-09,2.1657012831208925e-09,1.6917491675405166e-08,4.330791416361088e-09,2318.3853852284838,2.6203837109078875e+45,5.4474128706313295e-08,7.436295497086969e-09
6.2226558631784695e-09,5.4204138630613335e-09,4.0670678530988786e-08,1.0029039545311943e-08,0.00019438953318263959,9.481289391838091e+49,1.3119072716672318e-07,3.0061288304340234e-08
3.663285097420677e-13,4.523620330107077e-13,9.045220626098542e-13,3.6333544550109687e-13,4.5176799400790925e+19,3.3456663993933615e+53,2.0313202666963264e-12,5.980530442284361e-13
2.1664013623809754e-11,1.7795040273220935e-11,1.3387204590751826e-10,3.86803418558021e-11,0.021213689922874743,7.776782703960256e+62,5.263421701880136e-10,5.768960333198268e-11
7.689140715210769e-08,7.5346587570581e-08,3.526622135838283e-07,1.0384004500875377e-07,1.0228986562141906e-05,1.448600497600381e+45,1.301182765403281e-06,2.4446419837154607e-07
8.337238403166444e-09,1.2185076869581648e-08,2.2272093748415534e-08,1.151632219272043e-08,3.64889632079321e+54,5.4103053779322455e-09,2.4880501742918013e-08,7.813258931378835e-08
0.44981136987872483,0.5709610995891345,1.0817671600727599,0.35490231762507124,81.73557863482496,0.07763460134651118,2.1056740542040147,0.7590367575430369
