mcg,gvh,alm,mit,erl,pox,vac,nuc
1.9501125618020736e-12,2.4081432984484565e-12,4.816097848400625e-12,1.934345503453786e-12,1.3907216421462762e+62,4770546.687236804,1.0815004742997863e-11,3.1856170404930414e-12
3.652471666077491e-06,8.116866996822198e-06,7.856337062594425e-05,1.4422308448660817e-05,5.418960117354971e+28,0.0010570040478479995,0.00026163683512190255,0.0019864531882255935
1.9838515088850343e-06,2.5270662975896657e-06,7.765748277380895e-06,2.6365551652031e-06,3.2408286611300896e+37,1.0775894388206962e-06,1.781268732010226e-05,1.566084490803658e-05
1.0049753482907913e-16,8.866362042529604e-17,6.18666498896474e-16,1.5787904506728704e-16,2625101913731.8877,4.796622527871625e+80,2.0526047166800487e-15,4.445606369124103e-16
3.719293113408488e-15,2.3093461036631993e-15,4.781605999738566e-15,1.0947295971581448e-15,1.0693069455602298e+43,6.751055886381934e+42,1.9436166466810368e-14,1.585204219157569e-14
2.74494718642312e-09,1.3001026652289232e-08,2.717358431081495e-07,2.715089340789343e-08,5.666303199064201e+45,0.0002257429597987198,2.510966655473586e-07,1.18250323161169e-05
1.738203059779898e-08,2.4466402137828968e-08,4.826457786629586e-08,2.701618360726681e-08,9.906207731094695e+27,4815087047462316.0,1.2072470808941374e-07,3.131620529711382e-07
2.0153708569266233e-10,2.3526562326457363e-10,8.298483148064168e-10,2.3970563365371954e-10,3.1193461723897677e+65,1.1662071152187692e-10,2.70168076839234e-09,1.0787884878679553e-09
6.6016159367373e-07,7.572734423178823e-07,2.4312081083451438e-06,6.466208034813028e-07,1.5691467285626439e+41,3.8664675784657235e-07,6.768157087902944e-06,3.098680877011257e-06
1.450641111337976e-07,1.6777110347932396e-07,9.125317880984019e-07,2.618730296887726e-07,4.253391827962336e+43,3.665976536383911e-07,5.4563139282256575e-06,2.020969038769781e-06
