mcg,gvh,alm,mit,erl,pox,vac,nuc
9.979360748597073e-07,1.2440365784171216e-06,2.555066697745909e-06,1.1755225855390777e-06,1.5011756630848262e+35,0.14895520624423345,4.270840660167533e-06,2.8082148868917076e-06
9.598320519581528e-06,1.6910211325253092e-05,2.707869298705928e-05,2.4068616202870028e-05,6.696312851404212e+32,3.6561697734605456e-06,2.9401450027796924e-05,0.00013132459116256564
1.1315739796660553e-10,1.4243135070294518e-10,2.824572386304207e-10,1.990573289426606e-10,0.178449665489413,4.872021478314385e+58,7.738336905632073e-10,1.6402422991026302e-10
8.435060042341025e-11,1.0229278028303166e-10,2.0838129897540724e-10,6.117970599106732e-11,291079.57351221325,5.034434899108603e+53,4.0156191440627174e-10,1.5448479366609255e-10
3.85107835522081e-09,5.941324868997198e-09,7.326585876092477e-09,2.0207278759489185e-09,9.814480271970203e+57,2.0879152956979094e-09,1.2282776437149715e-08,1.172865302486856e-08
8.948792177318304e-11,6.794203441545406e-11,5.440172237516786e-10,2.2590050152444098e-10,1.7500218601933632e+67,4.521804518880945e-11,1.714852072871387e-09,9.862460250155048e-10
3.604269692781749e-06,3.925882723572758e-06,1.099232458538405e-05,3.158695117430341e-06,3.856654958725943e+36,1.4273572370286707e-06,2.6862698237119417e-05,1.3764328990393473e-05
1.9931783905712817e-15,1.884646278491472e-15,1.5973922007861975e-14,2.147285226408775e-15,8.6537335871603e+42,4.7427546334621146e+42,2.2600031860869388e-14,8.367186583308951e-15
7.070672778859609e-09,8.243791977846544e-09,2.9534120385787687e-08,8.497605942196526e-09,4.333037511166448e+54,4.18119964215646e-09,9.786623529220289e-08,3.855363863494874e-08
1.1050351744497112e-07,9.756745574694982e-08,6.779313712662e-07,1.737264239405911e-07,1.2376545248660371e-05,5.796809336663585e+43,2.25501835875386e-06,4.867755701460763e-07
